title,views,descr
The story of Ezra,"
293,484
","
Filmmaker Newton Aduaka shows clips from his powerful, lyrical feature film ""Ezra,"" about a child soldier in Sierra Leone.
"
A flight through the ocean,"
362,239
","
Graham Hawkes takes us aboard his graceful, winged submarines to the depths of planet Ocean (a.k.a. ""Earth""). It's a deep blue world we landlubbers rarely see in 3D.
"
A roadmap to end aging,"
2,979,638
","
Cambridge researcher Aubrey de Grey argues that aging is merely a disease — and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.
"
The power and the danger of online crowds,"
367,182
","
James Surowiecki pinpoints the moment when social media became an equal player in the world of news-gathering: the 2005 tsunami, when YouTube video, blogs, IMs and txts carried the news — and preserved moving personal stories from the tragedy.
"
Walk the earth ... my 17-year vow of silence,"
589,521
","
For almost three decades, John Francis has been a planetwalker, traveling the globe by foot and sail with a message of environmental respect and responsibility (for 17 of those years without speaking). A funny, thoughtful talk with occasional banjo.
"
Tales of creativity and play,"
1,666,568
","
At the 2008 Serious Play conference, designer Tim Brown talks about the powerful relationship between creative thinking and play — with many examples you can try at home (and one that maybe you shouldn't).
"
The science of scent,"
407,333
","
What's the science behind a sublime perfume? With charm and precision, biophysicist Luca Turin explains the molecular makeup — and the art — of a scent.
"
Science and democracy,"
234,725
","
Physicist Lee Smolin talks about how the scientific community works: as he puts it, ""we fight and argue as hard as we can,"" but everyone accepts that the next generation of scientists will decide who's right. And, he says, that's how democracy works, too.
"
A complicated hero in the war on dictatorship,"
398,744
","
Would you negotiate with someone you knew to be evil, to save lives? Samantha Power tells a story of a complicated hero, Sergio Vieira de Mello. This UN diplomat walked a thin moral line, negotiating with the world's worst dictators to help their people survive crisis. It's a compelling story told with a fiery passion.
"
Fashion and creativity,"
753,267
","
Fashion designer Isaac Mizrahi spins through a dizzying array of inspirations — from '50s pinups to a fleeting glimpse of a woman on the street who makes him shout ""Stop the cab!"" Inside this rambling talk are real clues to living a happy, creative life.
"
The story behind the Mars Rovers,"
505,219
","
At Serious Play 2008, Charles Elachi shares stories from NASA's legendary Jet Propulsion Lab — including tales and video from the Mars Rover project.
"
The real future of space exploration,"
1,812,559
","
In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off. 
"
The story of life in photographs,"
1,381,601
","
In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass.
"
Tidying up art,"
1,217,059
","
Ursus Wehrli shares his vision for a cleaner, more organized, tidier form of art — by deconstructing the paintings of modern masters into their component pieces, sorted by color and size.
"
The Long Now,"
227,272
","
Stewart Brand works on the Clock of the Long Now, a timepiece that counts down the next 10,000 years. It's a beautiful project that asks us to think about the far, far future. Here, he discusses a tricky side problem with the Clock: Where can we put it? 
"
"A tour of Nollywood, Nigeria's booming film industry","
205,775
","
Zambia-born filmmaker Franco Sacchi tours us through Nollywood, Nigeria's booming film industry (the world's 3rd largest). Guerrilla filmmaking and brilliance under pressure from crews that can shoot a full-length feature in a week.
"
The design of the universe,"
1,537,185
","
At Serious Play 2008, astrophysicist George Smoot shows stunning new images from deep-space surveys, and prods us to ponder how the cosmos — with its giant webs of dark matter and mysterious gaping voids — got built this way.
"
"What I'm worried about, what I'm excited about","
462,439
","
Technologist and futurist Bill Joy talks about several big worries for humanity — and several big hopes in the fields of health, education and future tech. 
"
A foie gras parable,"
1,204,204
","
At the Taste3 conference, chef Dan Barber tells the story of a small farm in Spain that has found a humane way to produce foie gras. Raising his geese in a natural environment, farmer Eduardo Sousa embodies the kind of food production Barber believes in.
"
Do the green thing,"
397,191
","
Andy Hobsbawm shares a fresh ad campaign about going green — and some of the fringe benefits. 
"
The coming neurological epidemic,"
828,044
","
Biochemist Gregory Petsko makes a convincing argument that, in the next 50 years, we'll see an epidemic of neurological diseases, such as Alzheimer's, as the world population ages. His solution: more research into the brain and its functions. 
"
The mysterious lives of giant trees,"
540,480
","
Science writer Richard Preston talks about some of the most enormous living beings on the planet, the giant trees of the US Pacific Northwest. Growing from a tiny seed, they support vast ecosystems — and are still, largely, a mystery. 
"
One Laptop per Child,"
299,262
","
Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""
"
Life in Second Life,"
521,450
","
Why build a virtual world? Philip Rosedale talks about the virtual society he founded, Second Life, and its underpinnings in human creativity. It's a place so different that anything could happen.
"
The future of cars,"
527,119
","
General Motors veep Larry Burns previews cool next-gen car design: sleek, customizable (and computer-enhanced) vehicles that run clean on hydrogen — and pump energy back into the electrical grid when they're idle.
"
Demo: The Orb,"
435,130
","
Inventor Nick Sears demos the first generation of the Orb, a rotating persistence-of-vision display that creates glowing 3D images. A short, cool tale of invention. 
"
The joyful tradition of mountain music,"
451,704
","
Folk musician and storyteller David Holt plays the banjo and shares photographs and old wisdom from the Appalachian Mountains. He also demonstrates some unusual instruments like the mouth bow — and a surprising electric drum kit he calls ""thunderwear.""
"
The playful search for beauty,"
407,338
","
The ceramics designer Eva Zeisel looks back on a 75-year career. What keeps her work as fresh today (her latest line debuted in 2008) as in 1926? Her sense of play and beauty, and her drive for adventure. Listen for stories from a rich, colorful life.
"
A plea for bees,"
521,162
","
Bees are dying in droves. Why? Leading apiarist Dennis vanEngelsdorp looks at the gentle, misunderstood creature's important place in nature and the mystery behind its alarming disappearance.
"
My library of human imagination,"
426,352
","
Jay Walker, curator of the Library of Human Imagination, conducts a surprising show-and-tell session highlighting a few of the intriguing artifacts that backdropped the 2008 TED stage.
"
The price of happiness,"
1,617,349
","
Can happiness be bought? To find out, author Benjamin Wallace sampled the world's most expensive products, including a bottle of 1947 Chateau Cheval Blanc, 8 ounces of Kobe beef and the fabled (notorious) Kopi Luwak coffee. His critique may surprise you.
"
Is this our final century?,"
1,934,187
","
Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.
"
Why we make bad decisions,"
3,230,630
","
Dan Gilbert presents research and data from his exploration of happiness — sharing some surprising tests and experiments that you can also try on yourself. Watch through to the end for a sparkling Q&A with some familiar TED faces.
"
There might just be life on Mars,"
624,943
","
So the Mars Rovers didn't scoop up any alien lifeforms. Scientist Penelope Boston thinks there's a good chance — a 25 to 50 percent chance, in fact — that life might exist on Mars, deep inside the planet's caves. She details how we should look and why.
"
The science of sync,"
598,624
","
Mathematician Steven Strogatz shows how flocks of creatures (like birds, fireflies and fish) manage to synchronize and act as a unit — when no one's giving orders. The powerful tendency extends into the realm of objects, too.
"
Taking OLPC to Colombia,"
343,206
","
TED follows Nicholas Negroponte to Colombia as he delivers laptops inside territory once controlled by guerrillas. His partner? Colombia's Defense Department, who see One Laptop per Child as an investment in the region. (And you too can get involved.)
"
The hunt for General Tso,"
1,204,760
","
Reporter Jennifer 8. Lee talks about her hunt for the origins of familiar Chinese-American dishes — exploring the hidden spots where these two cultures have (so tastily) combined to form a new cuisine.
"
Play! Experiment! Discover!,"
483,137
","
Biochemist Kary Mullis talks about the basis of modern science: the experiment. Sharing tales from the 17th century and from his own backyard-rocketry days, Mullis celebrates the curiosity, inspiration and rigor of good science in all its forms.
"
My journey in design,"
222,685
","
Designer John Maeda talks about his path from a Seattle tofu factory to the Rhode Island School of Design, where he became president in 2008. Maeda, a tireless experimenter and a witty observer, explores the crucial moment when design met computers.
"
Digging up dinosaurs,"
706,075
","
Strange landscapes, scorching heat and (sometimes) mad crocodiles await scientists seeking clues to evolution's genius. Paleontologist Paul Sereno talks about his surprising encounters with prehistory — and a new way to help students join the adventure.
"
My dream of a flying car,"
396,270
","
Paul Moller talks about the future of personal air travel — the marriage of autos and flight that will give us true freedom to travel off-road. He shows two things he's working on: the Moller Skycar (a jet + car) and a passenger-friendly hovering disc.
"
Design is in the details,"
682,636
","
Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems.
"
Organic algorithms in architecture,"
311,239
","
Greg Lynn talks about the mathematical roots of architecture — and how calculus and digital tools allow modern designers to move beyond the traditional building forms. A glorious church in Queens (and a titanium tea set) illustrate his theory.
"
Ways of seeing,"
338,344
","
Rob Forbes, the founder of Design Within Reach, shows a gallery of snapshots that inform his way of seeing the world. Charming juxtapositions, found art, urban patterns — this slideshow will open your eyes to the world around you.
"
The visual magic of comics,"
913,846
","
In this unmissable look at the magic of comics, Scott McCloud bends the presentation format into a cartoon-like experience, where colorful diversions whiz through childhood fascinations and imagined futures that our eyes can hear and touch.
"
The art and craft of bread,"
741,741
","
Batch to batch, crust to crust ... In tribute to the beloved staple food, baking master Peter Reinhart reflects on the cordial couplings (wheat and yeast, starch and heat) that give us our daily bread. Try not to eat a slice.
"
What consumers want,"
770,152
","
Customers want to feel what they buy is authentic, but ""Mass Customization"" author Joseph Pine says selling authenticity is tough because, well, there's no such thing. He talks about a few experiences that may be artificial but make millions anyway.
"
"Great design is serious, not solemn","
447,841
","
Paula Scher looks back at a life in design (she's done album covers, books, the Citibank logo ...) and pinpoints the moment when she started really having fun. Look for gorgeous designs and images from her legendary career. 
"
Design and discovery,"
694,035
","
Great design is a never-ending journey of discovery — for which it helps to pack a healthy sense of humor. Sociologist and surfer-turned-designer David Carson walks through a gorgeous (and often quite funny) slide deck of his work and found images.
"
Genomics 101,"
350,345
","
What is genomics? How will it affect our lives? In this intriguing primer on the genomics revolution, entrepreneur Barry Schuler says we can at least expect healthier, tastier food. He suggests we start with the pinot noir grape, to build better wines.
"
Tools for a better world,"
196,519
","
We all want to make the world better — but how? Jamais Cascio looks at some specific tools and techniques that can make a difference. It's a fascinating talk that might just inspire you to act.
"
A philosophical quest for our biggest problems,"
686,729
","
Oxford philosopher and transhumanist Nick Bostrom examines the future of humankind and asks whether we might alter the fundamental nature of humanity to solve our most intrinsic problems.
"
A theory of Earth's mass extinctions,"
783,846
","
Asteroid strikes get all the coverage, but ""Medea Hypothesis"" author Peter Ward argues that most of Earth's mass extinctions were caused by lowly bacteria. The culprit, a poison called hydrogen sulfide, may have an interesting application in medicine.
"
The extraordinary power of ordinary people,"
274,462
","
Surgeon and writer Sherwin Nuland meditates on the idea of hope — the desire to become our better selves and make a better world. It's a thoughtful 12 minutes that will help you focus on the road ahead.
"
Hypersonic sound and other inventions,"
1,177,280
","
Woody Norris shows off two of his inventions that use sound in new ways, including the Long Range Acoustic Device, or LRAD. He talks about his untraditional approach to inventing and education, because, as he puts it: ""Almost nothing has been invented yet."" So — what's next?
"
Changing my legs - and my mindset,"
921,873
","
In this TED archive video from 1998, paralympic sprinter Aimee Mullins talks about her record-setting career as a runner, and about the amazing carbon-fiber prosthetic legs (then a prototype) that helped her cross the finish line.
"
Solving medical mysteries,"
370,683
","
Biochemist Joe DeRisi talks about amazing new ways to diagnose viruses (and treat the illnesses they cause) using DNA. His work may help us understand malaria, SARS, avian flu — and the 60 percent of everyday viral infections that go undiagnosed.
"
Fiddling in reel time,"
927,526
","
Natalie MacMaster and her musical partner Donnell Leahy play several tunes from the Cape Breton tradition — a sprightly, soulful style of folk fiddling. It's an inspired collaboration that will have you clapping (and maybe dancing) along.
"
An 11-year-old's magical violin,"
2,463,266
","
Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument. 
"
A solar energy system that tracks the sun,"
592,421
","
Bill Gross, the founder of Idealab, talks about his life as an inventor, starting with his high-school company selling solar energy plans and kits. Learn here about a groundbreaking system for solar cells — and some questions we haven't yet solved.
"
"Mosquitos, malaria and education","
2,499,518
","
Bill Gates hopes to solve some of the world's biggest problems using a new kind of philanthropy. In a passionate and, yes, funny 18 minutes, he asks us to consider two big questions and how we might answer them. (And see the Q&A on the TED Blog.)
"
Your elusive creative genius,"
11,459,368
","
Elizabeth Gilbert muses on the impossible things we expect from artists and geniuses — and shares the radical idea that, instead of the rare person ""being"" a genius, all of us ""have"" a genius. It's a funny, personal and surprisingly moving talk.
"
Using design to make ideas new,"
351,117
","
From the TED archives: The legendary graphic designer Milton Glaser dives deep into a new painting inspired by Piero della Francesca. From here, he muses on what makes a convincing poster, by breaking down an idea and making it new.
"
Toy tiles that talk to each other,"
1,733,475
","
MIT grad student David Merrill demos Siftables — cookie-sized, computerized tiles you can stack and shuffle in your hands. These future-toys can do math, play music, and talk to their friends, too. Is this the next thing in hands-on learning?
"
"Improvising on piano, aged 14","
1,556,842
","
Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.
"
Our loss of wisdom,"
2,806,018
","
Barry Schwartz makes a passionate call for ""practical wisdom"" as an antidote to a society gone mad with bureaucracy. He argues powerfully that rules often fail us, incentives often backfire, and practical, everyday wisdom will help rebuild our world.
"
The next species of human,"
2,806,892
","
While the mega-banks were toppling in early 2009, Juan Enriquez took the stage to say: The really big reboot is yet to come. But don't look for it on the stock exchange or the political ballot. It'll come from science labs, and it promises keener bodies and minds. Our kids are going to be ... different.
"
The El Sistema music revolution,"
879,320
","
Jose Antonio Abreu is the charismatic founder of a youth orchestra system that has transformed thousands of kids' lives in Venezuela.  Here he shares his amazing story and unveils a TED Prize wish that could have a big impact in the US and beyond.
"
El Sistema's top youth orchestra,"
1,875,129
","
The Teresa Carreño Youth Orchestra contains the best high school musicians from Venezuela's life-changing music program, El Sistema. Led here by Gustavo Dudamel, they play Shostakovich's Symphony No. 10, 2nd movement, and Arturo Márquez' Danzón No. 2.
"
My wish: Protect our oceans,"
990,611
","
Legendary ocean researcher Sylvia Earle shares astonishing images of the ocean — and shocking stats about its rapid decline — as she makes her TED Prize wish: that we will join her in protecting the vital blue heart of the planet.
"
Join the SETI search,"
1,180,806
","
The SETI Institute's Jill Tarter makes her TED Prize wish: to accelerate our search for cosmic company. Using a growing array of radio telescopes, she and her team listen for patterns that may be a sign of intelligence elsewhere in the universe.
"
How Benjamin Button got his face,"
868,463
","
Ed Ulbrich, the digital-effects guru from Digital Domain, explains the Oscar-winning technology that allowed his team to digitally create the older versions of Brad Pitt's face for ""The Curious Case of Benjamin Button.""
"
Chemical scum that dream of distant quasars,"
960,968
","
Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.
"
Seas of plastic,"
993,453
","
Capt. Charles Moore of the Algalita Marine Research Foundation first discovered the Great Pacific Garbage Patch — an endless floating waste of plastic trash. Now he's drawing attention to the growing, choking problem of plastic debris in our seas.
"
A dive into the reef's Twilight Zone,"
310,041
","
In this illuminating talk, Richard Pyle shows us thriving life on the cliffs of coral reefs and groundbreaking diving technologies he has pioneered to explore it. He and his team risk everything to reveal the secrets of undiscovered species. 
"
My underground art explorations,"
556,445
","
At the 2008 EG Conference, artist Miru Kim talks about her work. Kim explores industrial ruins underneath New York and then photographs herself in them, nude — to bring these massive, dangerous, hidden spaces into sharp focus.
"
The voices of Twitter users,"
1,059,351
","
In the year leading up to this talk, the web tool Twitter exploded in size (up 10x during 2008 alone). Co-founder Evan Williams reveals that many of the ideas driving that growth came from unexpected uses invented by the users themselves.
"
Why not make video games for girls?,"
362,625
","
At TED in 1998, Brenda Laurel asks: Why are all the top-selling videogames aimed at little boys? She spent two years researching the world of girls (and shares amazing interviews and photos) to create a game that girls would love.
"
How to restore a rainforest,"
623,466
","
By piecing together a complex ecological puzzle, biologist Willie Smits believes he has found a way to re-grow clearcut rainforest in Borneo, saving local orangutans — and creating a thrilling blueprint for restoring fragile ecosystems. NOTE: The core content of this talk has been challenged on a number of grounds. For details, and Willie Smits' response, please see ""A challenge to Willie Smits' talk"" below.
"
Conserving the canopy,"
346,795
","
A unique ecosystem of plants, birds and monkeys thrives in the treetops of the rainforest. Nalini Nadkarni explores these canopy worlds — and shares her findings with the world below, through dance, art and bold partnerships.
"
Learning from dirty jobs,"
3,715,941
","
Mike Rowe, the host of ""Dirty Jobs,"" tells some compelling (and horrifying) real-life job stories. Listen for his insights and observations about the nature of hard work, and how it’s been unjustifiably degraded in society today.
"
Piano jazz that rocks,"
668,797
","
Eric Lewis, an astonishingly talented crossover jazz pianist — seen by many for the first time at TED2009 — sets fire to the keys with his shattering rendition of Evanescence's chart-topper, ""Going Under.""
"
Everyday inventions,"
405,688
","
Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab — from ""smart rope"" to a house-sized kite for towing large loads.
"
3 ways good design makes you happy,"
1,042,948
","
In this talk from 2003, design critic Don Norman turns his incisive eye toward beauty, fun, pleasure and emotion, as he looks at design that makes people happy. He names the three emotional cues that a well-designed product must hit to succeed.
"
Meet the SixthSense interaction,"
9,411,752
","
This demo — from Pattie Maes' lab at MIT, spearheaded by Pranav Mistry — was the buzz of TED. It's a wearable device with a projector that paves the way for profound interaction with our environment. Imagine ""Minority Report"" and then some.
"
My 12 pairs of legs,"
3,167,639
","
Athlete, actor and activist Aimee Mullins talks about her prosthetic legs — she's got a dozen amazing pairs — and the superpowers they grant her: speed, beauty, an extra 6 inches of height ... Quite simply, she redefines what the body can be.
"
Play is more than just fun,"
1,345,368
","
A pioneer in research on play, Dr. Stuart Brown says humor, games, roughhousing, flirtation and fantasy are more than just fun. Plenty of play in childhood makes for happy, smart adults — and keeping it up can make us smarter at any age.
"
The next web,"
1,216,273
","
20 years ago, Tim Berners-Lee invented the World Wide Web. For his next project, he's building a web for open, linked data that could do for numbers what the Web did for words, pictures, video: unlock our data and reframe the way we use it together.
"
"Cute, sexy, sweet, funny","
2,231,803
","
Why are babies cute? Why is cake sweet? Philosopher Dan Dennett has answers you wouldn't expect, as he shares evolution's counterintuitive reasoning on cute, sweet and sexy things (plus a new theory from Matthew Hurley on why jokes are funny).
"
Our buggy moral code,"
2,445,593
","
Behavioral economist Dan Ariely studies the bugs in our moral code: the hidden reasons we think it's OK to cheat or steal (sometimes). Clever studies help make his point that we're predictably irrational — and can be influenced in ways we can't grasp.
"
My obsession with objects and the stories they tell,"
1,517,266
","
Adam Savage talks about his fascination with the dodo bird, and how it led him on a strange and surprising double quest. It's an entertaining adventure through the mind of a creative obsessive.
"
What is retro-futurism?,"
352,444
","
Bruce McCall paints a retro-future that never happened — full of flying cars, polo-playing tanks and the RMS Tyrannic, ""The Biggest Thing in All the World."" At Serious Play '08, he narrates a brisk and funny slideshow of his faux-nostalgic art.
"
Behind the design of Seattle's library,"
845,705
","
Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.
"
How to grow fresh air,"
2,603,722
","
Researcher Kamal Meattle shows how an arrangement of three common houseplants, used in specific spots in a home or office building, can result in measurably cleaner indoor air.
"
High-altitude wind energy from kites!,"
590,438
","
In this brief talk, Saul Griffith unveils the invention his new company Makani Power has been working on: giant kite turbines that create surprising amounts of clean, renewable energy.
"
An escape from poverty,"
835,109
","
Jacqueline Novogratz tells a moving story of  an encounter in a Nairobi slum with Jane, a former prostitute, whose dreams of escaping poverty, of becoming a doctor and of getting married were fulfilled in an unexpected way.
"
Cool tricks your phone can do,"
691,500
","
In this engaging talk from the EG'08 conference, New York Times tech columnist David Pogue rounds up some handy cell phone tools and services that can boost your productivity and lower your bills (and your blood pressure).
"
The difference between winning and succeeding,"
4,384,598
","
With profound simplicity, Coach John Wooden redefines success and urges us all to pursue the best in ourselves. In this inspiring talk he shares the advice he gave his players at UCLA, quotes poetry and remembers his father's wisdom.
"
The jungle search for viruses,"
960,687
","
Virus hunter Nathan Wolfe is outwitting the next pandemic by staying two steps ahead: discovering deadly new viruses where they first emerge — passing from animals to humans among poor subsistence hunters in Africa — before they claim millions of lives.
"
Great cars are great art,"
810,862
","
American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining — and ultimately moving — account of the BMW Group's Deep Blue project, intended to create the SUV of the future.
"
Happiness by design,"
1,595,944
","
Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy — and notes how many of these moments have to do with good design.
"
Poetry of youth and age,"
224,261
","
Poet C.K. Williams reads his work at TED2001. As he colors scenes of childhood resentments, college loves, odd neighbors and the literal death of youth, he reminds us of the unique challenges of living.
"
Can design save newspapers?,"
1,006,489
","
Jacek Utko is an extraordinary Polish newspaper designer whose redesigns for papers in Eastern Europe not only win awards, but increase circulation by up to 100%. Can good design save the newspaper? It just might.
"
Extreme wingsuit flying,"
1,322,897
","
Wingsuit jumping is the leading edge of extreme sports — an exhilarating feat of almost unbelievable daring, where skydivers soar through canyons at over 100MPH. Ueli Gegenschatz talks about how (and why) he does it, and shows jawdropping film.
"
"The Airstream, restyled","
294,449
","
In this low-key, image-packed talk from 2002, designer Christopher C. Deam talks about his makeover of an American classic: the Airstream travel trailer.
"
Military robots and the future of war,"
1,321,426
","
In this powerful talk, P.W. Singer shows how the widespread use of robots in war is changing the realities of combat. He shows us scenarios straight out of science fiction — that now may not be so fictitious.
"
"Scenes from ""My Architect""","
316,447
","
Nathaniel Kahn shares clips from his documentary ""My Architect,"" about his quest to understand his father, the legendary architect Louis Kahn. It's a film with meaning to anyone who seeks to understand the relationship between art and love.
"
A prediction for the future of Iran,"
692,853
","
Bruce Bueno de Mesquita uses mathematical analysis to predict (very often correctly) such messy human events as war, political power shifts, Intifada ... After a crisp explanation of how he does it, he offers three predictions on the future of Iran.
"
"How bacteria ""talk""","
1,995,750
","
Bonnie Bassler discovered that bacteria ""talk"" to each other, using a chemical language that lets them coordinate defense and mount attacks. The find has stunning implications for medicine, industry — and our understanding of ourselves.
"
Winning the oil endgame,"
749,033
","
In this energizing talk, Amory Lovins lays out his simple plan for weaning the US off oil and revitalizing the economy.
"
A theory of everything,"
1,736,748
","
Philosopher-comedian Emily Levine talks (hilariously) about science, math, society and the way everything connects. She's a brilliant trickster, poking holes in our fixed ideas and bringing hidden truths to light. Settle in and let her ping your brain.
"
Our antisocial phone tricks,"
1,111,794
","
In this funny (and actually poignant) 3-minute talk, social strategist Renny Gleeson breaks down our always-on social world — where the experience we're having right now is less interesting than what we'll tweet about it later.
"
A new ecosystem for electric cars,"
1,094,299
","
Forget about the hybrid auto — Shai Agassi says it's electric cars or bust if we want to impact emissions. His company, Better Place, has a radical plan to take entire countries oil-free by 2020.
"
To upgrade is human,"
471,678
","
In this prophetic 2003 talk — just days before Dolly the sheep was stuffed — biotech ethicist Gregory Stock looked forward to new, more meaningful (and controversial) technologies, like customizable babies, whose adoption might drive human evolution.
"
Stunning data visualization in the AlloSphere,"
589,029
","
JoAnn Kuchera-Morin demos the AlloSphere, a new way to see, hear and interpret scientific data. Dive into the brain, feel electron spin, hear the music of the elements ... and detect previously unseen patterns that could lead to new discoveries.
"
"Smash fear, learn anything","
2,068,294
","
From the EG conference: Productivity guru Tim Ferriss' fun, encouraging anecdotes show how one simple question — ""What's the worst that could happen?"" — is all you need to learn to do anything.
"
9 life lessons from rock climbing,"
661,806
","
In this talk from TED University 2009, veteran rock climber Matthew Childs shares nine pointers for rock climbing. These handy tips bear on an effective life at sea level, too.
"
The beautiful math of coral,"
1,185,128
","
Margaret Wertheim leads a project to re-create the creatures of the coral reefs using a crochet technique invented by a mathematician — celebrating the amazements of the reef, and deep-diving into the hyperbolic geometry underlying coral creation.
"
Rethinking the way we sit down,"
526,907
","
Design legend Niels Diffrient talks about his life in industrial design (and the reason he became a designer instead of a jet pilot). He details his quest to completely rethink the office chair starting from one fundamental data set: the human body.
"
Does racism affect how you vote?,"
387,131
","
Nate Silver has data that answers big questions about race in politics. For instance, in the 2008 presidential race, did Obama's skin color actually keep him from getting votes in some parts of the country? Stats and myths collide in this fascinating talk that ends with a remarkable insight.
"
Reporting crisis via texting,"
367,499
","
At TEDU 2009, Erik Hersman presents the remarkable story of Ushahidi, a GoogleMap mashup that allowed Kenyans to report and track violence via cell phone texts following the 2008 elections, and has evolved to continue saving lives in other countries.
"
Comics of bygone New York,"
274,211
","
In this captivating talk from the TED archive, cartoonist Ben Katchor reads from his comic strips. These perceptive, surreal stories find the profound hopes and foibles of history (and modern New York) preserved in objects like light switches and signs.
"
How ideas trump crises,"
680,103
","
The ""dismal science"" truly shines in this optimistic talk, as economist Alex Tabarrok argues free trade and globalization are shaping our once-divided world into a community of idea-sharing more healthy, happy and prosperous than anyone's predictions.
"
Growing evidence of brain plasticity,"
1,104,382
","
Neuroscientist Michael Merzenich looks at one of the secrets of the brain's incredible power: its ability to actively re-wire itself. He's researching ways to harness the brain's plasticity to enhance our skills and recover lost function.
"
A one-woman global village,"
1,313,937
","
In this hilariously lively performance, actress Sarah Jones channels an opinionated elderly Jewish woman, a fast-talking Dominican college student and more, giving TED2009 just a sample of her spectacular character range.
"
Lessons from the 1918 flu,"
387,329
","
In 2007, as the world worried about a possible avian flu epidemic, Laurie Garrett, author of ""The Coming Plague,"" gave this powerful talk to a small TED University audience. Her insights from past pandemics are suddenly more relevant than ever.
"
Greening the ghetto,"
1,399,724
","
In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx — and shows how minority neighborhoods suffer most from flawed urban policy.
"
What went wrong at the LHC,"
875,809
","
In this short talk from TED U 2009, Brian Cox shares what's new with the CERN supercollider. He covers the repairs now underway and what the future holds for the largest science experiment ever attempted.
"
The mathematics of war,"
842,376
","
By analyzing raw data on violent incidents in the Iraq war and others, Sean Gourley and his team claim to have found a surprisingly strong mathematical relationship linking the fatality and frequency of attacks.
"
Teach arts and sciences together,"
639,623
","
Mae Jemison is an astronaut, a doctor, an art collector, a dancer ... Telling stories from her own education and from her time in space, she calls on educators to teach both the arts and sciences, both intuition and logic, as one — to create bold thinkers.
"
Anti-gravity sculpture,"
928,978
","
Tom Shannon shows off his gravity-defying, otherworldly sculpture — made of simple, earthly materials — that floats and spins like planets on magnets and suspension wire. It's science-inspired art at its most heavenly.
"
What comes after An Inconvenient Truth?,"
726,446
","
At TED2009, Al Gore presents updated slides from around the globe to make the case that worrying climate trends are even worse than scientists predicted, and to make clear his stance on ""clean coal.""
"
We need to feed the whole world,"
847,066
","
Louise Fresco shows us why we should celebrate mass-produced, supermarket-style white bread. She says environmentally sound mass production will feed the world, yet leave a role for small bakeries and traditional methods.
"
The tribes we lead,"
1,727,955
","
Seth Godin argues the Internet has ended mass marketing and revived a human social unit from the distant past: tribes. Founded on shared ideas and values, tribes give ordinary people the power to lead and make big change. He urges us to do so.
"
My wish: A call for open-source architecture,"
1,124,589
","
Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.
"
"Insights on HIV, in stunning data visuals","
815,065
","
Hans Rosling unveils data visuals that untangle the complex risk factors of one of the world's deadliest (and most misunderstood) diseases: HIV. By following the data, he suggests a surprising key to ending the epidemic.
"
Chaos and harmony on piano,"
372,841
","
Eric Lewis explores the piano's expressive power as he pounds and caresses the keys (and the strings) in a performance during the 2009 TED Prize session. He plays an original song, a tribute to ocean and sky and the vision of the TED Prize winners.
"
A full-band beatbox,"
1,371,943
","
One-of-a-kind R&B group Naturally 7 beatboxes an orchestra's worth of instruments to groove through their smooth single, ""Fly Baby.""
"
Ideas for India's future,"
717,569
","
Nandan Nilekani, the visionary co-founder of outsourcing pioneer Infosys, explains four brands of ideas that will determine whether India can continue its recent breakneck progress.
"
The business logic of sustainability,"
789,711
","
At his carpet company, Ray Anderson has increased sales and doubled profits while turning the traditional ""take / make / waste"" industrial system on its head. In a gentle, understated way, he shares a powerful vision for sustainable commerce.
"
